"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"white",1540,"ClassC","0","0","0","0","0","0","1","4","0","0"
"white",1257,"ClassD","1","0","6","0","1","1","0","2","0","1"
"black",1470.5,"ClassC","1","1","5","0","1","0","0","6","0","1"
"black",1362.5,"ClassD","1","0","5","1","2","0","0","3","1","2"
"white",1440.5,"ClassC","1","0","6","1","1","1","0","7","1","2"
"white",1435.5,"ClassC","0","0","2","1","0","0","0","4","1","1"
"white",1316.5,"ClassD","0","0","1","0","0","1","0","4","0","0"
"black",1439.5,"ClassC","0","1","7","1","2","0","0","6","1","2"
"black",1390,"ClassD","2","1","6","1","2","2","1","6","1","2"
"black",1282.5,"ClassD","1","1","6","1","2","1","1","6","0","2"
"black",1477.5,"ClassC","1","0","5","1","1","0","1","5","0","1"
"white",1462,"ClassC","0","0","1","0","0","1","0","3","0","1"
"black",1489.5,"ClassC","1","0","7","1","1","0","0","4","1","2"
"white",1521,"ClassC","1","1","5","1","1","1","1","7","1","2"
"black",1452,"ClassC","0","0","5","1","1","0","0","2","0","1"
"black",1526,"ClassC","0","0","7","1","1","0","0","3","1","0"
"black",1456,"ClassC","1","0","6","1","1","1","2","5","0","2"
"white",1541,"ClassC","1","1","5","1","2","1","1","8","1","2"
"black",1571,"ClassC","2","0","7","1","2","1","1","4","1","2"
"white",1015.5,"Novice","0","0","3","0","0","1","1","6","1","1"
"black",931.5,"Novice","2","1","4","1","2","2","1","5","0","2"
"white",768,"Rookie","2","1","6","1","2","1","2","7","1","2"
"black",975.5,"Novice","0","0","3","0","1","0","0","0","0","0"
"black",945,"Novice","0","0","7","0","1","0","0","4","0","1"
"draw",875.5,"Rookie","0","0","1","0","0","0","0","1","0","0"
"black",980.5,"Novice","2","0","6","1","2","1","1","5","0","2"
"black",996.5,"Novice","1","2","8","1","2","2","1","7","1","2"
"black",955.5,"Novice","0","1","6","0","2","1","0","4","0","1"
"white",1057.5,"Novice","0","2","5","0","2","1","1","6","0","2"
"black",904,"Novice","2","1","7","1","2","1","2","7","0","2"
"white",992,"Novice","1","1","5","0","0","1","1","4","0","2"
"black",947,"Novice","1","2","6","1","2","1","2","8","0","2"
"black",1041,"Novice","1","2","7","1","2","2","1","7","0","2"
"white",999.5,"Novice","2","1","6","0","1","0","1","5","0","2"
"white",994.5,"Novice","1","0","1","0","1","0","0","4","0","1"
"white",950.5,"Novice","1","2","5","1","2","2","2","4","1","2"
"black",984,"Novice","1","0","2","0","2","0","1","5","0","1"
"white",906,"Novice","0","0","0","0","0","1","0","2","0","2"
"white",921.5,"Novice","0","0","0","0","0","0","0","3","0","2"
"draw",917,"Novice","2","1","8","1","2","1","2","8","1","2"
"white",927,"Novice","2","1","6","1","1","1","0","8","1","2"
"white",1087.5,"Novice","1","1","5","1","2","0","1","6","1","2"
"white",979.5,"Novice","2","2","7","1","2","2","2","7","1","2"
"black",916.5,"Novice","0","1","2","0","2","0","0","2","0","2"
"black",1052,"Novice","1","0","4","0","0","0","0","0","0","0"
