"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"black",1326.5,"ClassD","1","0","4","1","1","1","0","3","0","2"
"black",1330,"ClassD","1","0","3","0","1","0","1","3","0","0"
"draw",1114,"Novice","1","1","2","0","0","0","1","4","1","0"
"white",1114,"Novice","0","0","7","1","2","0","1","8","1","2"
"white",1248.5,"ClassD","1","0","5","0","2","1","1","6","1","2"
"white",1365.5,"ClassD","1","2","7","1","2","2","1","8","1","2"
"black",1387,"ClassD","1","1","6","1","1","0","0","5","1","1"
"black",1470,"ClassC","1","0","5","0","2","1","0","4","0","2"
"black",1387.5,"ClassD","2","2","7","1","2","2","2","7","0","2"
"white",1221.5,"ClassD","0","0","7","0","1","0","1","3","1","0"
"white",1117,"Novice","1","1","6","0","2","1","1","6","1","1"
"white",1028,"Novice","1","1","3","0","1","0","1","5","1","2"
"white",1009.5,"Novice","1","1","6","0","1","1","1","6","0","1"
"black",1258,"ClassD","1","2","6","1","2","1","1","7","0","2"
"black",1131.5,"Novice","1","1","6","1","2","1","1","5","0","1"
"black",1238.5,"ClassD","2","1","7","1","2","1","0","7","1","2"
"white",1414.5,"ClassC","2","1","7","1","1","2","2","5","1","2"
"black",1396.5,"ClassD","0","1","6","1","2","0","0","5","1","2"
"black",1095.5,"Novice","1","1","5","1","2","0","1","7","1","2"
"white",1047.5,"Novice","0","1","4","0","2","0","2","6","1","1"
"draw",1016,"Novice","0","0","4","1","0","0","0","5","1","0"
"white",1017,"Novice","2","1","7","1","2","2","1","5","1","2"
"white",1031.5,"Novice","2","1","7","0","1","1","0","6","1","2"
"white",878,"Rookie","2","2","6","0","2","2","2","6","1","2"
"black",914.5,"Novice","0","1","5","1","1","1","0","4","0","1"
"white",941.5,"Novice","1","2","7","0","2","1","1","7","1","2"
"black",1013,"Novice","1","2","6","1","1","2","2","7","0","2"
"white",1026,"Novice","2","0","6","1","1","1","1","5","1","0"
"white",1038.5,"Novice","1","1","3","0","1","2","0","7","1","2"
"black",1182,"Novice","0","0","4","1","1","0","0","4","0","0"
"white",1347.5,"ClassD","0","1","2","0","0","1","0","3","0","0"
"white",1265.5,"ClassD","2","1","5","1","2","1","2","5","1","2"
"white",1148,"Novice","0","0","3","1","0","1","0","7","1","1"
"white",1201.5,"ClassD","1","1","6","1","2","2","1","6","1","2"
"white",1441.5,"ClassC","1","0","3","0","0","2","2","6","1","2"
"black",1446.5,"ClassC","1","0","6","1","2","0","0","4","1","1"
"black",1329.5,"ClassD","1","0","4","0","2","1","0","3","0","2"
"white",1242,"ClassD","2","2","8","0","1","1","1","8","1","2"
"white",980,"Novice","1","1","7","1","1","1","2","6","1","2"
"white",863,"Rookie","2","1","7","1","2","2","1","8","1","2"
"white",861,"Rookie","2","1","7","1","2","2","2","7","1","2"
"white",841,"Rookie","2","1","7","1","2","1","2","8","1","2"
"white",937.5,"Novice","2","2","7","1","2","2","2","7","1","2"
"white",1236,"ClassD","0","0","6","1","1","0","0","5","1","2"
"black",1251,"ClassD","0","0","2","0","1","0","0","0","0","1"
"white",1262,"ClassD","2","1","5","1","1","1","1","6","1","0"
"black",1284,"ClassD","1","1","7","1","2","1","1","7","1","2"
"white",1309,"ClassD","0","0","4","0","1","0","1","7","0","1"
"black",1326,"ClassD","0","0","3","0","0","0","0","2","0","0"
"black",1326,"ClassD","1","0","6","1","0","1","0","4","1","1"
"black",1362.5,"ClassD","1","2","6","1","1","1","0","6","1","1"
"white",1215.5,"ClassD","0","1","3","1","0","0","0","5","1","0"
"white",1215,"ClassD","0","0","0","0","0","0","0","2","0","1"
"white",1160,"Novice","1","0","6","1","0","0","0","5","1","1"
"black",1196,"Novice","0","0","6","0","1","0","0","4","1","0"
"black",1288,"ClassD","1","1","7","1","2","2","0","6","1","1"
"black",1321.5,"ClassD","2","0","3","0","2","0","0","5","0","2"
"black",1321,"ClassD","2","1","6","0","2","2","1","6","0","1"
"black",1218,"ClassD","0","0","3","0","1","0","0","1","0","1"
"black",1155,"Novice","0","0","1","0","1","0","0","4","0","0"
"black",1279.5,"ClassD","0","1","5","0","0","1","1","6","0","0"
"white",1264.5,"ClassD","1","0","7","1","1","1","0","6","1","2"
"black",1323.5,"ClassD","0","0","5","0","0","0","0","2","0","1"
"black",1392.5,"ClassD","1","0","2","0","1","0","0","3","0","1"
"white",1220,"ClassD","0","0","0","0","0","0","1","0","0","1"
"white",1472.5,"ClassC","1","1","6","0","2","2","0","5","1","2"
"black",1347.5,"ClassD","0","1","6","1","0","0","1","3","0","1"
"white",1241.5,"ClassD","1","1","7","1","1","2","1","8","1","2"
"white",1305.5,"ClassD","0","0","4","0","0","0","0","5","0","0"
"black",1554.5,"ClassC","0","0","4","0","0","0","0","3","0","0"
"black",1471.5,"ClassC","0","0","4","0","0","0","0","3","0","0"
"black",1471.5,"ClassC","2","1","7","1","2","0","1","5","1","2"
"black",1507.5,"ClassC","2","1","6","1","2","1","0","5","0","2"
"white",1507.5,"ClassC","1","0","8","0","2","1","2","8","1","2"
"black",1507.5,"ClassC","2","2","7","1","2","0","1","7","0","1"
"white",1507.5,"ClassC","1","0","6","0","1","2","2","8","1","2"
"white",1718,"ClassB","1","2","3","1","1","2","1","6","1","1"
"black",1506.5,"ClassC","0","1","7","1","2","1","1","6","0","2"
"white",1506.5,"ClassC","0","0","7","1","1","2","2","6","1","2"
"black",1506.5,"ClassC","1","2","7","1","2","1","1","6","1","2"
"white",1506.5,"ClassC","2","1","6","1","2","2","1","7","1","2"
"white",1506.5,"ClassC","1","1","7","0","1","2","2","7","1","2"
"black",1506.5,"ClassC","1","0","8","1","2","1","1","8","1","2"
"white",958,"Novice","1","0","6","1","2","1","1","8","1","2"
"black",716,"Rookie","1","0","7","1","2","2","0","2","0","2"
"white",871,"Rookie","1","1","5","1","2","2","1","7","1","2"
"black",871,"Rookie","1","0","7","1","1","0","0","0","0","0"
"white",931,"Novice","0","0","3","0","0","1","1","7","1","1"
"white",886.5,"Rookie","1","1","6","0","2","0","2","7","0","2"
"black",886.5,"Rookie","2","1","6","1","2","0","0","6","1","1"
"white",958,"Novice","0","0","4","0","0","0","1","6","1","1"
"white",823,"Rookie","0","0","7","0","2","1","1","4","0","1"
"white",738,"Rookie","0","0","0","0","1","0","1","7","1","2"
"white",1049.5,"Novice","0","0","4","0","1","1","0","6","1","2"
"black",1091,"Novice","0","0","8","1","2","0","0","4","0","2"
"white",958,"Novice","1","1","5","0","2","1","1","7","1","2"
"white",1059,"Novice","0","0","2","0","0","1","2","5","0","2"
"white",1059,"Novice","2","0","8","1","2","2","2","7","1","2"
"black",958,"Novice","1","1","7","1","2","2","2","5","1","2"
"black",767.5,"Rookie","1","2","5","1","2","0","0","4","0","2"
"black",1518.5,"ClassC","2","2","5","1","1","0","1","5","0","2"
"black",1518.5,"ClassC","1","1","6","1","1","1","0","6","0","1"
"white",1157.5,"Novice","0","0","4","0","1","0","2","6","0","2"
"black",1011,"Novice","0","2","7","1","1","1","0","5","1","1"
"white",1027,"Novice","2","1","7","0","2","2","2","4","1","2"
"black",1239.5,"ClassD","2","2","8","1","2","1","1","6","1","1"
"black",1143.5,"Novice","1","1","3","0","1","0","0","3","0","1"
"white",1315,"ClassD","0","0","1","0","0","2","1","5","1","1"
"black",1230,"ClassD","2","1","6","1","0","1","1","7","0","2"
"white",1168.5,"Novice","2","0","5","0","1","2","0","3","1","1"
"white",1168.5,"Novice","1","0","7","1","2","1","2","6","1","2"
"white",1198.5,"Novice","0","0","6","0","1","0","1","4","1","0"
"white",1171.5,"Novice","2","0","5","1","2","1","0","5","1","2"
"black",1238.5,"ClassD","1","0","5","0","2","1","1","5","0","1"
"white",1238.5,"ClassD","1","0","5","1","2","2","1","5","1","2"
"black",1223,"ClassD","1","1","3","0","0","0","0","3","0","0"
"white",1216.5,"ClassD","0","0","6","1","2","1","1","5","1","2"
"black",1229.5,"ClassD","0","0","6","1","2","0","1","5","0","2"
"black",1229.5,"ClassD","2","2","5","0","1","1","1","6","0","1"
"draw",1236.5,"ClassD","0","1","0","0","0","0","0","1","0","1"
"black",1230.5,"ClassD","0","0","6","1","1","1","1","3","0","1"
"white",1177,"Novice","0","1","5","1","2","1","1","6","1","1"
"black",1255.5,"ClassD","1","2","6","1","2","2","1","7","0","2"
"white",1217,"ClassD","0","0","6","1","0","0","0","1","1","1"
"black",1285.5,"ClassD","0","0","4","1","1","0","0","2","1","2"
"black",1472,"ClassC","1","0","6","1","0","0","0","5","1","0"
"white",1286,"ClassD","1","0","4","1","2","0","0","5","1","2"
"white",1232.5,"ClassD","0","2","6","0","1","1","0","5","0","1"
"white",1187.5,"Novice","2","1","5","1","2","1","1","7","1","2"
"white",1186,"Novice","1","0","5","0","1","1","0","5","1","0"
"black",1209.5,"ClassD","0","0","3","0","0","0","0","0","0","0"
"black",1282.5,"ClassD","0","0","3","0","2","0","0","3","0","2"
"draw",1282.5,"ClassD","1","0","6","1","2","1","1","3","1","1"
"black",1211,"ClassD","0","0","5","1","1","1","0","7","1","0"
"white",1289,"ClassD","0","0","2","0","1","0","1","4","0","1"
"black",1267,"ClassD","0","0","1","0","0","0","0","0","0","0"
"black",1285.5,"ClassD","1","0","4","0","0","0","0","1","0","0"
"draw",1418,"ClassC","0","0","0","0","0","0","0","3","0","1"
"white",1300,"ClassD","0","0","0","0","0","0","1","3","0","2"
"white",1301,"ClassD","1","0","1","0","1","1","1","6","0","2"
"white",1313,"ClassD","0","0","0","0","0","0","0","1","0","1"
"black",1299,"ClassD","1","0","7","1","2","0","1","7","1","2"
"black",1458.5,"ClassC","0","0","4","0","1","0","1","3","0","0"
"white",1237,"ClassD","1","0","5","0","2","1","0","6","1","2"
"black",1247,"ClassD","2","2","3","1","2","1","2","5","0","2"
"white",1141,"Novice","0","0","4","1","2","0","1","6","1","2"
"black",1286,"ClassD","0","1","5","0","0","0","0","3","1","0"
"black",1285.5,"ClassD","0","0","1","0","0","0","0","0","0","0"
"white",1333,"ClassD","0","0","3","0","0","0","2","3","0","2"
"white",1788,"ClassB","1","1","6","0","2","2","0","7","1","1"
"black",1263.5,"ClassD","0","0","4","0","1","0","0","0","0","0"
"white",1218,"ClassD","0","0","0","0","0","0","0","1","0","0"
"white",1269.5,"ClassD","1","0","6","0","2","1","0","6","1","1"
"draw",1234,"ClassD","0","0","6","1","2","0","0","6","1","2"
"white",1270.5,"ClassD","0","0","1","0","1","1","1","2","0","1"
"black",1258,"ClassD","0","1","1","0","0","0","0","0","0","0"
"black",1243.5,"ClassD","1","1","6","1","2","1","1","7","1","2"
"white",1233.5,"ClassD","0","2","3","0","1","1","0","3","1","0"
"draw",1275.5,"ClassD","0","0","5","0","0","0","0","6","0","0"
"black",1247,"ClassD","1","2","3","0","1","1","0","3","0","1"
"white",1855.5,"ClassA","2","0","5","1","1","0","1","6","1","2"
"black",1793.5,"ClassB","0","0","3","1","1","0","0","5","1","0"
"white",1866.5,"ClassA","1","1","4","0","1","1","1","2","0","1"
"black",1860.5,"ClassA","0","0","7","1","0","0","0","6","1","0"
"black",1867,"ClassA","1","0","4","1","1","1","0","6","1","0"
"white",1911,"ClassA","1","1","4","1","2","1","1","6","1","2"
"black",1886.5,"ClassA","0","1","7","1","2","0","1","6","0","2"
"white",1697.5,"ClassB","0","1","4","0","0","1","0","6","0","0"
"black",1751,"ClassB","2","0","4","1","2","1","0","5","1","2"
"black",1778,"ClassB","1","0","3","0","2","1","0","3","0","1"
"black",1724.5,"ClassB","1","0","2","1","0","0","0","1","0","0"
"draw",1711,"ClassB","0","1","0","0","0","0","0","0","0","0"
"black",1807,"ClassA","2","2","5","0","2","1","1","6","0","2"
"white",1778.5,"ClassB","0","0","6","1","1","0","0","6","1","1"
"draw",1900.5,"ClassA","0","0","6","1","1","0","0","5","1","1"
"white",1845.5,"ClassA","0","0","6","0","1","0","0","5","1","1"
"white",1903,"ClassA","1","0","4","0","0","0","0","5","0","1"
"black",1895,"ClassA","0","2","6","1","2","1","0","6","1","2"
"black",1870.5,"ClassA","0","0","4","1","2","1","0","4","1","0"
"black",1845,"ClassA","1","0","4","1","0","0","0","4","1","1"
"draw",1880.5,"ClassA","0","0","0","0","0","0","0","0","0","0"
"black",1666,"ClassB","0","0","5","0","2","0","1","2","0","1"
"white",1436.5,"ClassC","1","0","6","1","2","1","0","5","1","2"
"black",1568,"ClassC","0","0","5","1","2","0","0","3","1","2"
"white",1467.5,"ClassC","0","0","2","1","2","1","1","6","1","2"
"draw",1443.5,"ClassC","0","0","4","1","0","0","0","4","1","0"
"black",1443.5,"ClassC","1","1","5","0","2","1","0","6","0","1"
"white",1477.5,"ClassC","0","1","1","0","0","0","0","5","0","0"
"white",1477.5,"ClassC","2","2","6","1","2","1","2","6","1","2"
"white",1477.5,"ClassC","0","0","0","0","0","0","0","1","0","0"
"black",1477.5,"ClassC","0","0","4","0","0","0","0","4","0","0"
"white",1477.5,"ClassC","1","2","6","1","2","2","2","8","1","2"
"black",1477.5,"ClassC","1","2","5","1","2","2","0","5","1","2"
"black",1443.5,"ClassC","2","0","5","1","2","1","1","7","1","2"
"black",1477.5,"ClassC","1","2","7","1","2","2","2","7","1","2"
"black",1473.5,"ClassC","2","0","6","1","2","2","2","7","1","2"
"white",1453,"ClassC","1","1","7","0","2","1","1","4","0","2"
"white",1443.5,"ClassC","0","1","6","1","1","0","0","6","1","2"
"white",1473,"ClassC","0","0","4","1","2","0","0","4","1","2"
"white",1516,"ClassC","1","0","5","0","2","1","1","4","0","2"
"white",1482.5,"ClassC","0","1","8","1","2","0","2","8","1","2"
"black",1524.5,"ClassC","0","0","3","1","0","1","0","3","0","1"
"black",1311,"ClassD","2","2","8","1","2","2","2","8","0","1"
"black",1159.5,"Novice","0","0","5","1","0","0","0","6","1","0"
"black",1152,"Novice","1","2","7","1","2","2","1","6","1","2"
"white",1235.5,"ClassD","0","0","2","0","2","1","0","6","1","2"
"black",1220.5,"ClassD","0","0","3","0","1","0","0","2","0","1"
"white",1058,"Novice","1","0","5","0","1","1","1","7","0","2"
"black",1058,"Novice","2","1","7","0","2","1","1","7","0","2"
"white",1072.5,"Novice","0","0","3","0","0","1","0","3","0","1"
"black",1276.5,"ClassD","1","0","6","0","1","0","0","3","0","1"
"black",1276.5,"ClassD","2","2","7","1","2","2","2","6","1","2"
"black",1406.5,"ClassC","1","0","3","0","2","0","0","5","0","2"
"white",1199,"Novice","1","0","6","0","2","0","1","7","0","2"
"white",1140,"Novice","1","1","8","1","2","1","2","8","1","2"
"draw",1212,"ClassD","1","1","6","1","2","1","1","6","1","2"
"white",1547.5,"ClassC","2","1","5","1","1","2","1","6","1","2"
"draw",1544,"ClassC","0","0","0","0","0","0","0","0","0","0"
"black",1541,"ClassC","1","1","6","1","2","1","1","6","1","2"
"white",1518,"ClassC","1","0","3","0","1","1","0","2","0","1"
"black",1558.5,"ClassC","1","2","6","1","1","1","0","3","1","2"
"black",1525,"ClassC","0","0","5","1","2","0","0","6","1","1"
"black",1514,"ClassC","1","0","3","1","0","0","0","7","0","1"
"white",1480.5,"ClassC","1","1","5","1","2","2","0","6","1","2"
"white",1478,"ClassC","1","0","6","1","2","0","1","5","1","2"
"black",1546,"ClassC","1","0","4","0","1","0","0","4","0","1"
"draw",1531.5,"ClassC","1","0","0","0","0","0","0","0","0","0"
"white",1530,"ClassC","1","1","5","1","2","1","1","6","1","2"
"black",1435.5,"ClassC","2","2","6","1","2","2","0","7","1","2"
"black",1515.5,"ClassC","0","0","2","0","1","0","0","3","0","1"
"white",1568.5,"ClassC","0","0","3","0","1","1","1","2","0","0"
"black",1589,"ClassC","0","1","6","1","2","1","0","6","1","1"
"black",1422,"ClassC","1","0","7","1","2","1","0","6","1","2"
"black",1539,"ClassC","1","0","4","0","0","1","0","3","0","0"
"black",1584.5,"ClassC","0","0","2","0","0","0","0","2","0","0"
"white",1491,"ClassC","0","0","2","0","2","0","0","2","1","0"
"black",1411,"ClassC","0","0","5","0","1","0","0","3","0","1"
"black",1571,"ClassC","0","1","7","0","1","0","1","5","0","1"
"black",1561.5,"ClassC","0","0","3","0","1","0","0","2","0","1"
"black",1589.5,"ClassC","0","0","2","0","2","2","0","3","0","1"
"white",1444.5,"ClassC","1","0","5","0","0","1","1","3","0","0"
"black",1561.5,"ClassC","2","0","4","1","1","0","1","3","1","1"
"white",1631.5,"ClassB","1","0","4","1","0","0","0","4","1","2"
"white",1513,"ClassC","2","1","4","1","1","1","2","5","1","1"
"white",1606.5,"ClassB","0","1","5","0","1","1","1","6","0","2"
"draw",1642,"ClassB","1","0","5","1","2","1","0","5","1","1"
"black",1611.5,"ClassB","2","0","5","0","2","1","1","3","0","2"
"white",1621,"ClassB","0","0","6","0","2","0","1","5","0","2"
"white",1638.5,"ClassB","1","1","7","1","2","2","1","7","1","2"
"white",1583,"ClassC","0","0","0","0","0","0","1","3","0","0"
"black",1571,"ClassC","0","0","3","0","1","0","0","1","0","1"
"black",1570,"ClassC","1","0","5","1","2","0","1","5","1","1"
"white",1547,"ClassC","0","0","0","0","0","0","0","1","0","0"
"white",1663,"ClassB","0","1","6","0","1","1","0","5","0","2"
"black",1543,"ClassC","1","0","5","1","2","0","0","6","1","2"
"black",1569,"ClassC","0","1","6","0","2","0","1","2","0","2"
"white",1569,"ClassC","2","0","7","1","2","2","1","7","1","2"
"black",1551.5,"ClassC","1","2","5","0","2","1","1","5","0","2"
"white",1543.5,"ClassC","1","0","4","0","0","1","1","5","0","1"
"black",1555.5,"ClassC","2","2","7","1","2","2","2","7","1","2"
"black",1229,"ClassD","0","0","1","0","1","0","0","0","0","0"
"white",1229,"ClassD","1","2","5","1","2","1","1","6","1","2"
"black",1319.5,"ClassD","1","0","5","0","2","0","0","3","0","0"
"white",1319.5,"ClassD","0","0","3","0","1","0","0","4","1","2"
"black",1319.5,"ClassD","1","1","5","1","1","1","0","3","0","2"
"black",1095.5,"Novice","0","0","3","0","1","0","0","4","0","0"
"white",1173.5,"Novice","2","0","7","1","2","2","1","8","1","2"
"black",1252.5,"ClassD","1","0","5","0","0","0","0","5","0","1"
"white",1038,"Novice","0","2","5","1","1","1","2","7","1","2"
"white",1087.5,"Novice","0","0","1","0","0","1","0","3","0","1"
"white",1296,"ClassD","0","0","1","0","0","0","0","2","0","1"
"black",1259,"ClassD","0","0","7","1","2","0","1","5","1","1"
"white",1593.5,"ClassC","0","0","5","1","1","0","0","6","1","1"
"white",1176.5,"Novice","0","0","7","0","1","0","1","7","0","1"
"black",1214,"ClassD","1","0","6","1","1","0","1","7","1","1"
"black",997,"Novice","1","0","3","0","1","0","0","4","0","0"
"black",1087,"Novice","1","0","4","1","1","0","0","4","1","1"
"black",1087,"Novice","0","0","5","0","1","0","0","5","0","1"
"white",1087,"Novice","1","0","7","0","2","0","1","6","1","2"
"white",1111,"Novice","0","2","7","1","2","1","1","6","1","2"
"white",1127.5,"Novice","1","1","6","1","2","2","1","7","1","2"
"black",1084.5,"Novice","1","1","5","0","2","0","0","5","0","2"
"white",1167.5,"Novice","0","0","0","0","0","0","0","1","0","0"
"white",1230.5,"ClassD","1","0","3","0","0","0","1","3","0","1"
"white",1243.5,"ClassD","0","0","3","0","1","1","0","3","0","1"
"white",1187,"Novice","0","0","5","0","1","0","2","8","0","2"
"white",1112,"Novice","0","0","2","0","0","0","0","4","0","1"
"white",956.5,"Novice","2","2","7","1","2","2","2","7","1","2"
"black",1118.5,"Novice","0","0","5","1","1","0","0","3","0","1"
"black",1178.5,"Novice","0","2","2","0","0","0","0","2","0","0"
"white",1091,"Novice","1","1","5","0","1","1","1","7","0","2"
"black",1011.5,"Novice","2","0","5","1","2","0","0","5","0","1"
"black",1080,"Novice","0","0","4","1","2","1","0","4","1","0"
"white",1106.5,"Novice","1","0","6","1","2","0","1","6","1","2"
"white",1129.5,"Novice","0","1","5","1","2","1","0","7","1","2"
"black",1135,"Novice","2","0","4","1","1","2","1","6","0","1"
"white",1214.5,"ClassD","0","0","5","1","0","1","0","4","1","1"
"white",1234.5,"ClassD","0","0","4","1","0","0","0","6","1","0"
"black",1222,"ClassD","0","1","5","1","2","1","0","8","0","2"
"black",1222.5,"ClassD","0","1","6","1","1","1","1","5","0","1"
"black",1222,"ClassD","2","2","6","1","2","0","1","6","1","2"
"black",1169,"Novice","2","2","6","0","2","1","1","6","0","2"
"white",1201.5,"ClassD","1","0","4","0","1","0","1","6","1","1"
"white",1225.5,"ClassD","0","0","3","0","1","0","0","3","0","2"
"black",1249.5,"ClassD","0","1","5","1","2","0","0","7","1","1"
"white",1229,"ClassD","1","1","7","1","2","1","2","7","1","2"
"black",1229,"ClassD","0","0","4","0","1","1","0","4","0","0"
"white",1260.5,"ClassD","0","0","4","0","1","1","0","4","1","1"
"white",1277.5,"ClassD","0","1","5","0","2","0","1","6","1","2"
"white",1293.5,"ClassD","2","2","5","0","2","2","2","7","0","2"
"white",1223.5,"ClassD","2","2","7","0","2","1","2","6","1","2"
"black",1211.5,"ClassD","1","0","2","0","1","1","1","4","0","0"
"white",1219,"ClassD","0","0","5","0","1","1","0","5","1","1"
"black",1226.5,"ClassD","1","1","5","1","1","0","2","3","0","2"
"white",1242.5,"ClassD","0","0","2","0","1","0","0","5","1","0"
"white",1290.5,"ClassD","1","1","3","1","1","1","1","4","1","1"
"white",1194.5,"Novice","0","1","4","0","1","1","0","6","1","0"
"black",1204,"ClassD","0","0","4","0","1","0","1","3","0","0"
"white",1205.5,"ClassD","0","0","2","0","1","0","0","4","1","0"
"black",1070,"Novice","1","2","6","0","2","0","0","6","0","0"
"draw",1078,"Novice","1","0","6","1","2","1","1","7","1","1"
"black",1179,"Novice","0","1","6","1","2","0","1","5","0","2"
"black",1147,"Novice","2","1","7","1","2","1","1","7","1","2"
"black",1175.5,"Novice","2","1","6","1","2","1","1","6","1","2"
"black",1149,"Novice","2","0","5","1","0","0","0","3","0","1"
"black",1080,"Novice","1","1","5","0","2","0","0","5","0","1"
"white",954.5,"Novice","2","2","7","1","2","2","2","7","1","2"
"white",996.5,"Novice","2","1","8","1","2","1","2","8","1","2"
"black",1014,"Novice","1","1","6","1","2","1","1","7","1","2"
"black",1089,"Novice","1","0","4","0","2","0","0","2","0","0"
"draw",1074,"Novice","0","0","4","1","1","0","0","5","1","1"
"white",1351.5,"ClassD","0","0","0","0","1","0","0","3","1","0"
"black",1127.5,"Novice","1","1","7","1","1","1","1","7","0","2"
"white",1205.5,"ClassD","0","1","5","0","2","2","0","5","0","2"
"white",1177,"Novice","0","0","1","0","0","0","0","3","0","0"
"white",1085,"Novice","0","0","7","0","2","2","1","6","1","2"
"white",1169.5,"Novice","0","0","1","0","0","1","0","1","0","2"
"white",1134,"Novice","2","0","5","0","2","1","1","6","1","2"
"black",1195.5,"Novice","0","0","5","0","0","0","0","4","0","0"
"white",1094,"Novice","1","1","7","1","2","1","2","6","1","2"
"white",1048,"Novice","0","0","0","0","0","0","0","2","0","1"
"white",1003.5,"Novice","0","0","1","0","0","2","0","4","0","1"
"black",1043.5,"Novice","2","2","8","1","2","2","1","7","1","2"
"black",1095,"Novice","0","0","5","0","2","0","0","4","0","1"
"white",1335,"ClassD","1","1","6","1","0","1","0","5","1","2"
"white",1283.5,"ClassD","0","1","4","0","1","0","0","6","0","2"
"black",1276,"ClassD","1","2","7","1","2","1","1","5","1","2"
"black",1086,"Novice","2","1","4","0","1","0","1","2","0","0"
"draw",1086,"Novice","2","1","6","1","2","2","1","6","1","2"
"black",1349,"ClassD","0","0","2","0","1","0","0","3","0","1"
"black",1251,"ClassD","1","2","8","1","2","1","2","7","0","2"
"black",1492,"ClassC","0","2","7","1","0","1","0","6","1","1"
"black",1393,"ClassD","2","2","6","1","2","2","2","7","1","2"
"black",1312,"ClassD","2","0","5","1","2","0","1","5","1","2"
"black",1047.5,"Novice","2","2","7","1","2","1","0","5","1","0"
"black",1390,"ClassD","0","0","5","1","1","0","0","3","1","0"
"black",1275,"ClassD","0","0","3","0","1","0","0","6","0","0"
"black",1475.5,"ClassC","2","2","8","1","2","1","2","8","1","2"
"white",1477,"ClassC","0","1","4","0","0","1","0","4","0","0"
"white",1449,"ClassC","0","0","5","0","0","0","0","5","0","1"
"black",1306.5,"ClassD","1","1","6","1","0","0","1","2","1","0"
"black",1477,"ClassC","0","0","3","1","1","0","0","4","0","1"
"black",1518,"ClassC","1","1","6","0","2","1","1","3","0","1"
"black",1283.5,"ClassD","0","2","3","0","1","0","0","1","0","0"
"black",1424,"ClassC","1","1","6","0","2","1","1","6","0","2"
"white",1301,"ClassD","0","1","4","1","2","1","1","6","1","2"
"black",1395,"ClassD","0","1","4","1","0","1","0","3","1","0"
"black",1280.5,"ClassD","0","0","4","1","2","2","1","4","1","0"
"white",1189.5,"Novice","2","1","7","1","2","2","2","7","1","2"
"black",1213,"ClassD","1","2","6","1","2","2","1","4","0","1"
"white",1267,"ClassD","2","1","8","1","2","1","2","8","1","2"
"black",1300,"ClassD","0","0","1","0","0","0","0","0","0","0"
"black",1270.5,"ClassD","0","0","3","0","1","0","0","1","0","1"
"black",1382.5,"ClassD","1","0","7","1","1","1","0","4","1","1"
"black",1787.5,"ClassB","2","1","8","1","2","2","2","7","1","1"
"white",1828.5,"ClassA","1","1","8","1","2","1","1","8","1","2"
"white",1850.5,"ClassA","1","0","2","0","1","1","0","5","0","1"
"black",1813,"ClassA","0","1","4","1","2","0","1","4","1","2"
"white",1787.5,"ClassB","2","0","2","0","0","1","0","6","0","2"
"black",1944.5,"ClassA","1","1","6","1","2","1","1","5","1","2"
"black",1828.5,"ClassA","1","0","3","0","0","0","0","0","0","0"
"white",1964.5,"ClassA","2","2","6","1","2","2","2","7","1","2"
"white",1664,"ClassB","0","1","6","0","2","1","0","4","0","2"
"black",1772.5,"ClassB","1","0","4","0","1","1","0","4","0","1"
"black",2066.5,"Expert","1","0","5","0","0","1","0","3","0","0"
"black",1103.5,"Novice","0","1","5","0","0","0","0","2","0","0"
"white",1168.5,"Novice","1","0","7","1","2","0","1","6","1","2"
"black",1108,"Novice","2","0","7","1","2","1","1","7","0","2"
"draw",1105.5,"Novice","0","0","0","0","1","0","0","0","0","1"
"white",1126,"Novice","2","1","6","1","2","1","2","7","1","2"
"black",1438.5,"ClassC","1","0","6","0","1","0","0","4","0","0"
"black",1496,"ClassC","2","0","7","1","1","1","0","7","1","1"
"black",1468,"ClassC","1","1","6","0","2","0","1","5","0","2"
"white",1533,"ClassC","1","1","6","1","2","1","1","6","0","2"
"white",1534.5,"ClassC","0","0","4","0","0","0","0","5","0","1"
"white",1488,"ClassC","1","0","3","0","1","0","0","6","1","0"
"white",1546.5,"ClassC","1","1","4","0","2","0","1","5","1","2"
"white",1511.5,"ClassC","1","1","6","0","0","0","1","6","1","1"
"black",1469.5,"ClassC","1","1","7","1","2","1","1","6","1","1"
"white",1545.5,"ClassC","0","1","1","0","0","0","1","5","0","0"
"white",1460,"ClassC","2","1","7","1","2","2","2","5","1","2"
"black",1552.5,"ClassC","1","0","3","1","2","0","0","2","0","2"
"black",1574.5,"ClassC","0","1","4","0","2","0","0","3","0","2"
"black",1446.5,"ClassC","1","0","5","1","2","0","2","3","1","2"
"white",1536.5,"ClassC","1","1","7","1","2","2","1","7","1","2"
"white",1495.5,"ClassC","0","0","0","0","0","0","0","1","0","0"
"black",1510.5,"ClassC","0","1","5","1","1","1","1","5","0","1"
"black",1573,"ClassC","1","0","1","0","1","0","0","0","0","1"
"black",1595,"ClassC","0","1","5","1","1","0","1","4","0","1"
"white",1602.5,"ClassB","2","1","7","1","2","2","1","7","1","2"
"black",1542.5,"ClassC","1","2","6","1","2","2","1","5","1","2"
