"rating_category","created_at","last_move_at","turns","white_rating","black_rating","opening_ply","white_pawn_num_moves","white_knight_num_moves","white_bishop_num_moves","white_rook_num_moves","white_queen_num_moves","white_king_num_moves","white_pawn_num_checks","white_knight_num_checks","white_bishop_num_checks","white_rook_num_checks","white_queen_num_checks","white_king_num_checks","white_pawn_num_pieces_taken","white_knight_num_pieces_taken","white_bishop_num_pieces_taken","white_rook_num_pieces_taken","white_queen_num_pieces_taken","white_king_num_pieces_taken","white_pawn_value_pieces_taken","white_knight_value_pieces_taken","white_bishop_value_pieces_taken","white_rook_value_pieces_taken","white_queen_value_pieces_taken","white_king_value_pieces_taken","black_pawn_num_moves","black_knight_num_moves","black_bishop_num_moves","black_rook_num_moves","black_queen_num_moves","black_king_num_moves","black_pawn_num_checks","black_knight_num_checks","black_bishop_num_checks","black_rook_num_checks","black_queen_num_checks","black_king_num_checks","black_pawn_num_pieces_taken","black_knight_num_pieces_taken","black_bishop_num_pieces_taken","black_rook_num_pieces_taken","black_queen_num_pieces_taken","black_king_num_pieces_taken","black_pawn_value_pieces_taken","black_knight_value_pieces_taken","black_bishop_value_pieces_taken","black_rook_value_pieces_taken","black_queen_value_pieces_taken","black_king_value_pieces_taken","white_rating_adj","black_rating_adj","rating_diff","avg_rating"
"ClassA",1489659796804.16,1489661165420.68,72.8642972536349,2186.2310177706,2164.44911147011,7.2859450726979,9.73182552504039,6.41195476575121,5.68012924071082,6.54119547657512,4.31502423263328,4.88045234248788,0.18578352180937,0.344103392568659,0.264943457189015,0.694668820678514,0.793214862681745,0.00161550888529887,2.16801292407108,1.35056542810985,1.40064620355412,1.34410339256866,1.30856219709208,0.332794830371567,4,3.15347334410339,3.88529886914378,4.34248788368336,4.65912762520194,1.04038772213247,9.84168012924071,6.69305331179322,5.32794830371567,6.33117932148627,4.2827140549273,4.51696284329564,0.184168012924071,0.34248788368336,0.263327948303716,0.7140549273021,0.82875605815832,0.00323101777059774,2.24232633279483,1.4264943457189,1.40710823909532,1.25040387722132,1.22132471728595,0.340872374798061,3.89983844911147,3.64943457189015,3.92084006462036,4.17124394184168,4.32310177705977,1.06785137318255,1886.2310177706,1864.44911147011,187.481421647819,1875.34006462036
"ClassB",1487409756538.81,1487410757625.82,67.8571428571429,1987.28004125838,1982.84785972151,6.13357400722022,9.38370293965962,6.04177411036617,5.48581743166581,5.89014956162971,3.95461578133058,4.25116039195462,0.181536874677669,0.357916451779268,0.338834450747808,0.717895822588963,0.740072202166065,0.00412583806085611,2.0737493553378,1.40278494069108,1.37854564208355,1.22176379577102,1.18256833419288,0.348117586384734,3.87983496647757,3.39762764311501,3.82929345023208,4.01186178442496,4.32129963898917,1.10624033006704,9.39969056214544,5.85146982980918,5.22331098504384,5.63641052088705,3.90974729241877,4.44352759154203,0.178442496132027,0.284167096441465,0.311500773594636,0.667870036101083,0.771531717380093,0.00309437854564208,2.24445590510572,1.27591542031975,1.35482207323363,1.23620422898401,1.12996389891697,0.41103661681279,4.0732336255802,3.35430634347602,3.84270242392986,4.15626611655493,3.93656523981434,1.23104693140794,1687.28004125838,1682.84785972151,191.338834450748,1685.06395048994
"ClassC",1488907837999.46,1488908683492.3,66.5249350649351,1794.49038961039,1790.9187012987,5.41116883116883,9.27038961038961,5.80077922077922,5.28857142857143,5.66779220779221,4.03922077922078,4.27194805194805,0.187792207792208,0.375584415584416,0.345714285714286,0.724935064935065,0.886233766233766,0.00441558441558442,2.03012987012987,1.36519480519481,1.43090909090909,1.27688311688312,1.26597402597403,0.32961038961039,3.79480519480519,3.42805194805195,3.99714285714286,4.15636363636364,4.49558441558442,0.985714285714286,9.1625974025974,5.77766233766234,5.07090909090909,5.38155844155844,3.9438961038961,4.43896103896104,0.166753246753247,0.311428571428571,0.34051948051948,0.663376623376623,0.847792207792208,0.0012987012987013,2.13844155844156,1.31688311688312,1.40519480519481,1.21350649350649,1.22727272727273,0.417142857142857,3.91922077922078,3.46753246753247,3.94077922077922,4.0425974025974,4.25792207792208,1.27792207792208,1494.49038961039,1490.9187012987,184.539480519481,1492.70454545455
"ClassD",1484238422781.61,1484239256995.17,63.1617409994627,1596.00394053376,1586.49829840587,4.78971878918144,8.66738312735089,5.58445280315243,5.04513702310586,5.18269747447609,3.97904352498657,4.14597886440982,0.176786673831273,0.400501522478954,0.410890202400143,0.726849364141143,1.02113559018449,0.00358230342109977,1.82912412681354,1.39763567974207,1.48414830736163,1.20240014329214,1.33010926025434,0.351782195951997,3.44653412144009,3.58140784524449,4.09134873723804,3.84255776464267,4.55239118753358,1.13344080243597,8.81730252552391,5.37972416263658,4.74476088124664,4.93265269568332,3.8205265986029,4.31416801003045,0.162457460146874,0.346229625649292,0.349453698728282,0.689235178219595,0.931757119828049,0.00197026688160487,1.98853662905248,1.27082213863514,1.41930861543973,1.15726312018628,1.26759806555615,0.411964893426473,3.64857603439011,3.36432025792585,4.0035823034211,3.7289987461938,4.27171771449042,1.31148128246462,1296.00394053376,1286.49829840587,158.364320257926,1291.25111946982
"Novice",1479756771677.36,1479757547549.39,57.2712808273667,1378.95147175815,1373.29164677804,4.23245823389022,7.85743834526651,5.23500397772474,4.52776451869531,4.39236276849642,3.92537788385044,3.59729514717582,0.1587907716786,0.436595067621321,0.449801113762928,0.710739856801909,1.18011137629276,0.00318217979315831,1.66316626889419,1.31996817820207,1.41734287987271,1.02211614956245,1.37358790771679,0.319331742243437,3.04200477326969,3.46793953858393,4.09864757358791,3.19459029435163,4.38520286396181,1.10119331742243,7.9618138424821,5.00875099443119,4.30883054892601,4.1890214797136,3.67271280827367,3.81177406523469,0.139856801909308,0.375815433571997,0.39618138424821,0.683532219570406,1.03277645186953,0.00270485282418457,1.74383452665076,1.25075576770088,1.34892601431981,1.00095465393795,1.30087509944312,0.376770087509944,3.24136833731106,3.30676213206046,3.91376292760541,3.14924423229912,4.14733492442323,1.30405727923628,1078.95147175815,1073.29164677804,165.405250596659,1076.1215592681
"Rookie",1480183100766.53,1480184515074.95,56.7536800785083,1119.76153091266,1112.07654563297,3.54072620215898,7.82139352306183,5.4612365063788,4.37291462217861,4.02453385672228,3.84200196270854,3.66143277723258,0.18351324828263,0.568204121687929,0.536800785083415,0.76153091265947,1.28851815505397,0.00490677134445535,1.63886162904809,1.44455348380765,1.3189401373896,0.92639842983317,1.36702649656526,0.351324828263003,3.09126594700687,3.86653581943081,3.89205103042198,2.70853778213935,4.24239450441609,1.15210991167812,7.80667320902846,5.13935230618253,4.19528949950932,3.75564278704612,3.74190382728165,3.9450441609421,0.157998037291462,0.473994111874387,0.522080471050049,0.710500490677134,1.20314033366045,0.00392541707556428,1.66143277723258,1.31403336604514,1.30520117762512,0.924435721295388,1.3621197252208,0.42198233562316,3.09028459273798,3.63199214916585,3.89597644749755,2.74582924435721,4.04710500490677,1.46221786064769,819.76153091266,812.076545632974,149.616290480864,815.919038272816
